cd_id,updated,status,indexed_late
CD000954,Y,A,
CD000955,Y,A,
CD000956,N,A,
CD000957,N,A,
CD000958,N,A,
CD000959,N,A,
CD000961,N,W,
CD000962,N,W,
CD000963,Y,A,
CD000964,Y,A,
CD000966,N,A,
CD000967,Y,A,
CD000968,N,A,
CD000969,Y,A,
CD000970,Y,A,
CD000972,Y,A,
CD000974,Y,A,
CD000975,Y,A,
CD000976,Y,A,
CD000977,Y,A,
CD000978,Y,A,
CD000979,N,A,
CD000980,Y,A,
CD000984,Y,A,
CD000987,N,A,
CD000988,Y,A,
CD000990,Y,A,
CD000991,Y,A,
CD000993,Y,A,
CD000994,Y,A,
CD000995,Y,A,
CD000996,Y,A,
CD000998,Y,A,
CD001000,Y,A,
CD001001,Y,A,
CD001002,Y,A,
CD001004,Y,A,
CD001005,N,A,
CD001006,Y,A,
CD001007,Y,A,
CD001008,Y,A,
CD001009,Y,A,
CD001011,Y,A,
CD001015,Y,A,
CD001016,Y,A,
CD001017,Y,A,
CD001018,N,S,
CD001019,Y,A,
CD001021,Y,A,
CD001025,Y,A,
CD001026,N,A,
CD001027,Y,A,
CD001030,Y,A,
CD001034,Y,A,
CD001035,Y,A,
CD001036,N,S,
CD001040,Y,A,
CD001041,N,W,
CD001042,Y,A,
CD001043,N,W,
CD001044,N,A,
CD001046,Y,A,
CD001047,N,S,
CD001048,Y,A,
CD001049,Y,A,
CD001054,Y,A,
CD001055,Y,A,
CD001056,Y,A,
CD001057,Y,A,
CD001058,Y,A,
CD001059,Y,A,
CD001060,N,A,
CD001062,Y,A,
CD001063,Y,A,
CD001064,Y,A,
CD001065,Y,A,
CD001066,Y,A,
CD001067,Y,A,
CD001068,Y,A,
CD001069,Y,A,
CD001070,N,A,
CD001071,Y,A,
CD001072,Y,A,
CD001073,N,A,
CD001074,Y,A,
CD001075,Y,A,
CD001076,Y,A,
CD001077,Y,A,
CD001078,Y,A,
CD001079,Y,A,
CD001080,Y,A,
CD001081,Y,A,
CD001083,N,A,
CD001084,N,A,
CD001087,Y,A,
CD001088,Y,A,
CD001089,Y,A,
CD001090,Y,A,
CD001093,Y,A,
CD001094,Y,A,
CD001095,Y,A,
CD001097,Y,A,
CD001100,Y,A,
CD001104,Y,A,
CD001106,Y,A,
CD001107,N,A,
CD001108,Y,A,
CD001112,Y,A,
CD001114,Y,A,
CD001116,Y,A,
CD001117,Y,A,
CD001118,Y,A,
CD001119,N,W,
CD001120,Y,A,
CD001121,N,W,
CD001122,Y,A,
CD001124,N,A,
CD001127,Y,A,
CD001130,Y,A,
CD001131,Y,A,
CD001132,Y,A,
CD001133,Y,A,
CD001135,Y,A,
CD001136,N,A,
CD001139,Y,A,
CD001141,Y,A,
CD001142,N,A,
CD001143,Y,A,
CD001144,Y,S,
CD001145,Y,A,
CD001146,Y,A,
CD001148,Y,A,
CD001149,N,A,
CD001150,Y,A,
CD001153,Y,A,
CD001156,Y,A,
CD001157,N,A,
CD001158,N,A,
CD001159,Y,A,
CD001160,Y,A,
CD001161,Y,A,
CD001162,N,A,
CD001163,N,A,
CD001164,N,A,
CD001165,N,W,
CD001166,Y,S,
CD001167,Y,A,
CD001168,Y,A,
CD001169,Y,A,
CD001176,Y,A,
CD001177,Y,A,
CD001180,Y,A,
CD001182,N,A,
CD001183,Y,A,
CD001186,Y,A,
CD001187,Y,A,
CD001188,Y,A,
CD001190,Y,A,
CD001191,Y,A,
CD001198,Y,A,
CD001199,Y,A,
CD001203,N,A,
CD001208,Y,A,
CD001211,Y,A,
CD001213,Y,A,
CD001215,N,A,
CD001216,Y,A,
CD001217,Y,A,
CD001218,Y,A,
CD001219,Y,A,
CD001220,Y,A,
CD001231,Y,A,
CD001233,N,A,
CD001236,Y,A,
CD001237,Y,A,
CD001239,Y,A,
CD001240,Y,A,
CD001241,Y,A,
CD001242,Y,A,
CD001243,Y,A,
CD001245,Y,A,
CD001246,Y,A,
CD001247,Y,A,
CD001250,Y,A,
CD001254,Y,A,
CD001255,Y,A,
CD001256,Y,A,
CD001257,Y,A,
CD001258,Y,A,
CD001261,Y,A,
CD001263,Y,A,
CD001264,N,W,
CD001265,Y,A,
CD001266,Y,A,
CD001268,Y,A,
CD001269,Y,A,
CD001270,N,A,
CD001273,Y,A,
CD001275,Y,A,
CD001276,Y,A,
CD001277,Y,A,
CD001279,Y,A,
CD001281,Y,A,
CD001282,N,S,
CD001283,Y,A,
CD001285,Y,A,
CD001287,Y,A,
CD001288,Y,A,
CD001289,Y,A,
CD001290,Y,A,
CD001291,Y,A,
CD001292,Y,A,
CD001293,Y,A,
CD001294,Y,A,
CD001296,Y,A,
CD001298,Y,A,
CD001299,N,W,
CD001300,Y,A,
CD001301,Y,S,
CD001302,Y,A,
CD001304,Y,A,
CD001305,Y,A,
CD001306,Y,A,
CD001308,Y,A,
CD001310,Y,A,
CD001312,N,W,
CD001316,N,A,
CD001318,Y,A,
CD001319,Y,A,
CD001320,N,W,
CD001321,Y,A,
CD001322,Y,A,
CD001323,Y,A,
CD001324,Y,A,
CD001327,Y,A,
CD001328,Y,A,
CD001330,Y,A,
CD001331,Y,A,
CD001332,Y,A,
CD001333,Y,A,
CD001337,Y,A,
CD001338,Y,A,
CD001340,Y,A,
CD001342,Y,A,
CD001347,N,A,
CD001350,Y,A,
CD001351,Y,A,
CD001352,Y,A,
CD001353,Y,A,
CD001354,Y,A,
CD001357,N,A,
CD001359,Y,A,
CD001360,Y,A,
CD001361,N,A,
CD001362,Y,A,
CD001363,N,S,
CD001364,Y,A,
CD001366,Y,A,
CD001367,Y,A,
CD001394,Y,A,
CD001396,Y,A,
CD001398,Y,A,
CD001399,Y,A,
CD001401,Y,A,
CD001402,Y,A,
CD001406,Y,A,
CD001407,Y,A,
CD001408,N,A,
CD001415,Y,A,
CD001416,Y,A,
CD001417,Y,A,
CD001418,N,S,
CD001419,N,S,
CD001421,Y,A,
CD001423,Y,A,
CD001425,Y,A,
CD001426,Y,A,
CD001427,N,A,
CD001431,Y,A,
CD001434,Y,A,
CD001435,N,A,
CD001439,Y,A,
CD001440,N,S,
CD001442,Y,A,
CD001443,N,A,
CD001444,N,A,
CD001446,Y,A,
CD001447,Y,A,
CD001449,Y,A,
CD001450,Y,A,
CD001451,Y,A,
CD001452,Y,A,
CD001453,Y,A,
CD001454,Y,A,
CD001456,N,A,
CD001457,Y,A,
CD001460,N,A,
CD001461,N,A,
CD001466,Y,A,
CD001467,Y,A,
CD001470,N,A,
CD001473,N,A,
CD001474,Y,S,
CD001475,Y,A,
CD001476,Y,A,
CD001477,Y,A,
CD001478,Y,A,
CD001479,Y,A,
CD001480,Y,A,
CD001481,N,A,
CD001484,Y,A,
CD001486,Y,A,
CD001487,Y,A,
CD001488,Y,A,
CD001490,N,A,
CD001491,Y,A,
CD001493,Y,A,
CD001495,N,A,
CD001496,Y,A,
CD001497,Y,A,
CD001498,N,S,
CD001499,Y,A,
CD001501,Y,A,
CD001505,Y,A,
CD001506,Y,A,
CD001507,Y,A,
CD001509,N,A,
CD001514,N,A,
CD001515,N,A,
CD001516,N,A,
CD001517,N,A,
CD001518,N,A,
CD001519,N,A,
CD001520,Y,A,
CD001521,N,W,
CD001524,Y,A,
CD001526,N,W,
CD001527,Y,A,
CD001530,Y,A,
CD001531,Y,A,
CD001533,Y,A,
CD001534,Y,A,
CD001535,Y,A,
CD001538,Y,A,
CD001539,Y,A,
CD001541,Y,A,
CD001545,N,A,
CD001546,Y,A,
CD001547,Y,A,
CD001548,Y,A,
CD001552,Y,S,
CD001554,Y,A,
CD001556,Y,A,
CD001560,Y,W,
CD001561,Y,A,
CD001563,Y,A,
CD001684,Y,A,
CD001687,N,A,
CD001689,Y,A,
CD001690,Y,A,
CD001691,Y,A,
CD001693,N,A,
CD001694,Y,A,
CD001695,Y,A,
CD001697,N,S,
CD001698,N,A,
CD001704,Y,A,
CD001705,Y,A,
CD001706,Y,A,
CD001707,N,A,
CD001710,Y,A,
CD001711,N,A,
CD001715,Y,A,
CD001717,Y,A,
CD001718,Y,A,
CD001719,Y,A,
CD001720,Y,A,
CD001724,Y,A,
CD001725,Y,A,
CD001726,Y,A,
CD001727,Y,A,
CD001728,Y,A,
CD001730,Y,A,
CD001732,Y,A,
CD001733,Y,A,
CD001735,Y,A,
CD001737,Y,A,
CD001738,N,A,
CD001740,N,A,
CD001741,Y,A,
CD001744,Y,A,
CD001745,Y,A,
CD001747,Y,A,
CD001749,Y,A,
CD001750,Y,A,
CD001753,Y,A,
CD001754,Y,A,
CD001755,Y,A,
CD001757,Y,A,
CD001758,Y,A,
CD001760,Y,A,
CD001764,N,A,
CD001768,Y,A,
CD001769,Y,A,
CD001770,Y,A,
CD001773,Y,A,
CD001775,Y,A,
CD001776,Y,A,
CD001777,Y,A,
CD001779,Y,A,
CD001781,Y,A,
CD001785,Y,A,Y
CD001790,N,A,
CD001791,Y,A,
CD001793,N,A,
CD001796,Y,A,
CD001797,Y,A,
CD001798,Y,A,
CD001799,Y,A,
CD001800,Y,A,
CD001802,Y,A,
CD001803,Y,A,
CD001805,Y,A,
CD001806,Y,A,
CD001807,Y,A,
CD001808,Y,A,
CD001814,Y,A,
CD001815,Y,A,
CD001816,Y,A,
CD001817,Y,A,
CD001819,Y,A,
CD001821,N,A,
CD001823,Y,A,
CD001824,Y,A,
CD001825,Y,A,
CD001829,Y,A,
CD001831,Y,A,
CD001835,Y,A,
CD001837,Y,A,
CD001843,Y,A,
CD001851,Y,A,
CD001855,Y,A,
CD001856,N,S,
CD001857,Y,A,
CD001860,Y,A,
CD001863,Y,A,
CD001866,N,A,
CD001867,Y,A,
CD001869,Y,A,
CD001871,Y,A,
